北京,27日（今天）,晴间多云，东南部地区能见度4-8km转晴间多云，南部能见度3-6转大于10km,14,2,微风
北京,28日（明天）,晴转多云转阴,14,2,微风转3-4级
北京,1日（后天）,晴,8,-3,4-5级转微风
北京,2日（周四）,晴,12,-1,微风
北京,3日（周五）,晴,11,-2,微风
北京,4日（周六）,晴,11,0,微风
北京,5日（周日）,晴,13,-1,微风
成都,27日（今天）,多云,13,4,微风
成都,28日（明天）,晴转阴,14,5,微风
成都,1日（后天）,多云,16,4,微风
成都,2日（周四）,晴转多云,14,2,微风
成都,3日（周五）,小雨,16,2,微风
成都,4日（周六）,小雨转阴,15,6,微风
成都,5日（周日）,小雨,18,11,微风
昆明,27日（今天）,小雨,11,5,微风
昆明,28日（明天）,小雨转多云,17,8,微风
昆明,1日（后天）,小雨,11,5,微风
昆明,2日（周四）,多云,15,8,微风
昆明,3日（周五）,多云,19,7,微风
昆明,4日（周六）,多云转晴,21,8,微风
昆明,5日（周日）,多云转阵雨,20,8,微风
北京,27日（今天）,晴间多云，东南部地区能见度4-8km转晴间多云，南部能见度3-6转大于10km,14,2,微风
北京,28日（明天）,晴转多云转阴,14,2,微风转3-4级
北京,1日（后天）,晴,8,-3,4-5级转微风
北京,2日（周四）,晴,12,-1,微风
北京,3日（周五）,晴,11,-2,微风
北京,4日（周六）,晴,11,0,微风
北京,5日（周日）,晴,13,-1,微风
昆明,1日（今天）,中雨转小雨,10,5,微风
昆明,2日（明天）,小雨,15,7,微风
昆明,3日（后天）,小雨转多云,19,7,微风
昆明,4日（周六）,多云转晴,21,6,微风
昆明,5日（周日）,晴,20,7,微风
昆明,6日（周一）,多云转晴,17,7,微风
昆明,7日（周二）,多云转晴,18,7,微风
北京,1日（今天）,晴间多云转晴,7,-3,4-5级转微风
北京,2日（明天）,晴,12,-2,微风
北京,3日（后天）,晴,12,-2,微风
北京,4日（周六）,多云,11,0,微风转3-4级
北京,5日（周日）,晴,10,-2,3-4级转微风
北京,6日（周一）,晴转多云,12,-1,微风
北京,7日（周二）,多云转晴,9,-1,微风
